State,SA3 code 2016,SA3_name_2016,EstResidentPop_30_June_2016,Remoteness,SES_quintile,Prescriptions,Crude_rate_per_100000,Agesex_standardised_rate_per_100000,Decile_agesex_standardised_rate
Qld,30502,Brisbane Inner - East,42844,Major Cities,Quintile 5,17045,39784,45782,8
Qld,31605,Noosa,42626,Major Cities,Quintile 4,33539,78682,62634,6
NSW,10903,Upper Murray exc. Albury,42542,Inner Regional,Quintile 2,47756,112257,87130,1
Qld,30201,Bald Hills - Everton Park,42300,Major Cities,Quintile 5,23553,55682,50353,7
NSW,12303,Wollondilly,42215,Inner Regional,Quintile 3,27887,66059,66139,5
Qld,31102,Beenleigh,42205,Major Cities,Quintile 1,39819,94348,93624,1
Qld,30605,Tablelands (East) - Kuranda,41330,Outer Regional,Quintile 1,32737,79209,65142,5
Vic,21004,Sunbury,40978,Major Cities,Quintile 4,32065,78248,77335,3
Qld,30703,Granite Belt,40664,Inner Regional,Quintile 1,35544,87410,72188,4
Qld,30304,Nathan,40630,Major Cities,Quintile 5,21047,51801,51566,7
WA,51103,Goldfields,40317,Outer Regional,Quintile 1,22566,55971,68661,5
WA,50703,Kwinana,40305,Major Cities,Quintile 1,26965,66902,80871,2
Qld,30203,Nundah,40247,Major Cities,Quintile 3,21601,53670,52267,7
NT,70201,Alice Springs,39718,Remote,Quintile 1,9595,24158,29641,10
SA,40107,Unley,38916,Major Cities,Quintile 4,19974,51327,39124,9
NSW,11002,Inverell - Tenterfield,38858,Outer Regional,Quintile 1,35949,92513,74365,3
WA,50702,Fremantle,38691,Major Cities,Quintile 4,23754,61394,50769,7
Qld,31403,Strathpine,38496,Major Cities,Quintile 3,25972,67466,68920,4
NSW,11001,Armidale,38098,Inner Regional,Quintile 1,25097,65875,58867,6
Vic,21503,Murray River - Swan Hill,37697,Outer Regional,Quintile 1,37987,100770,79517,2
Tas,60203,North East,37679,Outer Regional,Quintile 1,35556,94364,76364,3
Vic,21601,Campaspe,37582,Inner Regional,Quintile 2,40522,107824,89265,1
Vic,21703,Colac - Corangamite,37504,Inner Regional,Quintile 2,32563,86826,73583,4
NSW,12404,Richmond - Windsor,37469,Major Cities,Quintile 3,23960,63945,61562,6
NSW,10106,Young - Yass,36821,Inner Regional,Quintile 4,33174,90095,78686,3
SA,40501,Barossa,36493,Inner Regional,Quintile 2,27101,74263,64203,5
SA,40105,Norwood - Payneham - St Peters,36443,Major Cities,Quintile 3,21977,60304,45372,8
WA,51001,Kimberley,36392,Remote,Quintile 1,9251,25421,32779,10
NSW,10105,Goulburn - Mulwaree,36182,Inner Regional,Quintile 2,31924,88232,75178,3
Vic,21701,Glenelg - Southern Grampians,35855,Outer Regional,Quintile 1,34542,96338,77879,3
NT,70104,Palmerston,35667,Outer Regional,Quintile 3,12376,34699,50226,7
Qld,30603,Innisfail - Cassowary Coast,35601,Outer Regional,Quintile 1,31811,89354,78464,3
WA,51003,West Pilbara,35434,Remote,Quintile 2,8546,24117,"              37,430*",9
ACT,80109,Woden Valley,35377,Major Cities,Quintile 5,17595,49735,41012,9
SA,40201,Gawler - Two Wells,34893,Major Cities,Quintile 2,33180,95091,84309,2
SA,40301,Holdfast Bay,34689,Major Cities,Quintile 4,24144,69602,48191,8
Qld,30905,Mudgeeraba - Tallebudgera,34504,Major Cities,Quintile 4,21463,62206,66132,5
Qld,31201,Bowen Basin - North,34349,Outer Regional,Quintile 2,20437,59499,68765,4
NSW,11504,Rouse Hill - McGraths Hill,34081,Major Cities,Quintile 5,12453,36540,44100,8
Qld,30401,Centenary,33800,Major Cities,Quintile 5,15338,45380,43929,8
Qld,31501,Far North,33772,Remote,Quintile 1,11249,33309,42303,8
Qld,31301,Bribie - Beachmere,33613,Inner Regional,Quintile 1,47729,141997,109426,1
Tas,60104,Hobart - South and West,33203,Inner Regional,Quintile 3,25025,75371,66078,5
NSW,10801,Great Lakes,31895,Inner Regional,Quintile 1,37279,116881,78932,2
NSW,10604,Upper Hunter,30877,Inner Regional,Quintile 1,22726,73602,69983,4
Vic,21002,Macedon Ranges,30739,Inner Regional,Quintile 4,19001,61815,59966,6
Qld,31502,Outback - North,30688,Remote,Quintile 2,12541,40865,51908,7
Qld,30801,Central Highlands (Qld),29775,Outer Regional,Quintile 3,13262,44541,57030,6
Vic,21602,Moira,29306,Inner Regional,Quintile 1,32743,111727,88331,1
SA,40106,Prospect - Walkerville,28933,Major Cities,Quintile 4,14670,50705,42366,8
Vic,20102,Creswick - Daylesford - Ballan,28746,Inner Regional,Quintile 3,26131,90903,77262,3
NT,70101,Darwin City,28020,Outer Regional,Quintile 3,9675,34530,37326,9
SA,40503,Mid North,27890,Outer Regional,Quintile 1,31629,113406,92340,1
WA,50606,Serpentine - Jarrahdale,27696,Major Cities,Quintile 3,12098,43681,53379,7
ACT,80106,South Canberra,27663,Major Cities,Quintile 5,12702,45915,37820,9
Vic,21102,Manningham - East,27426,Major Cities,Quintile 5,12763,46536,40249,9
SA,40602,Outback - North and East,27369,Outer Regional,Quintile 1,19278,70436,70171,4
NSW,11502,Dural - Wisemans Ferry,27076,Major Cities,Quintile 5,13748,50774,42705,8
NSW,11003,Moree - Narrabri,26452,Outer Regional,Quintile 1,22180,83851,79207,2
WA,51002,East Pilbara,26001,Remote,Quintile 2,7011,26966,"              36,813*",9
SA,40504,Yorke Peninsula,25729,Outer Regional,Quintile 1,34905,135665,101970,1
Vic,20103,Maryborough - Pyrenees,25475,Inner Regional,Quintile 1,31164,122331,101852,1
NSW,11503,Hawkesbury,25165,Inner Regional,Quintile 4,15107,60031,62382,6
NSW,10501,Bourke - Cobar - Coonamble,25059,Remote,Quintile 1,27464,109598,102453,1
NT,70103,Litchfield,24923,Outer Regional,Quintile 3,9991,40088,47339,8
