State,SA3_code,SA3_name,Population,Remoteness,SES_quintile,Prescriptions,PrescriptionRate,Median_income,Mortality_rate,Mortality_rate_ratio,Median_age_at_death
Vic,21203,Casey - South,176002,Major Cities,Quintile 2,101284,57547,46344,349,0.97,78
Vic,21003,Moreland - North,79587,Major Cities,Quintile 2,48054,60379,46162,931.3,1.01,85
SA,40403,West Torrens,62758,Major Cities,Quintile 2,38381,61157,46090,874.9,0.94,85
SA,40203,Port Adelaide - East,69599,Major Cities,Quintile 2,47694,68527,46008,775.6,1.16,80
Qld,31305,Redcliffe,61229,Major Cities,Quintile 2,64264,104956,45879,1079.3,1.19,81
Vic,21401,Frankston,139511,Major Cities,Quintile 2,117128,83956,45776,707.6,1.08,81
NSW,11102,Lake Macquarie - West,77075,Major Cities,Quintile 2,65689,85227,45694,1133,1.25,83
SA,40304,Onkaparinga,170376,Major Cities,Quintile 2,158348,92941,45177,651,0.95,82
Qld,31701,Toowoomba,153201,Inner Regional,Quintile 2,128388,83804,44964,726.3,1.03,81
SA,40501,Barossa,36493,Inner Regional,Quintile 2,27101,74263,44891,801.3,1.05,84
NSW,10105,Goulburn - Mulwaree,36182,Inner Regional,Quintile 2,31924,88232,44123,930.9,1.15,80
WA,50902,Wheat Belt - North,56584,Inner Regional,Quintile 2,47382,83738,44096,727.2,1.06,78
NSW,10202,Wyong,162052,Major Cities,Quintile 2,155201,95772,43803,967.1,1.12,81
Qld,31002,Ipswich Hinterland,64124,Inner Regional,Quintile 2,66318,103422,43725,696.6,1.12,76
Vic,20902,Darebin - North,99751,Major Cities,Quintile 2,55722,55861,43702,822.6,1.08,83
Tas,60106,Sorell - Dodges Ferry,16061,Inner Regional,Quintile 2,18511,115253,43469,721.7,1.02,79
Qld,30702,Darling Downs - East,42999,Inner Regional,Quintile 2,40350,93840,43396,943.6,1.33,80
NSW,10603,Port Stephens,73036,Inner Regional,Quintile 2,62572,85672,43345,874.4,0.99,81
Vic,20201,Bendigo,95587,Inner Regional,Quintile 2,82077,85867,43078,868.4,1.11,83
Vic,20505,Wellington,43354,Inner Regional,Quintile 2,40729,93946,42498,980.3,1.23,82
Qld,30903,Gold Coast - North,68379,Major Cities,Quintile 2,61448,89863,41723,941.1,1.01,82
WA,51101,Esperance,16289,Remote,Quintile 2,10095,61977,41307,877,1.42,79
Tas,60403,West Coast,17713,Outer Regional,Quintile 2,14584,82337,41139,766.1,1.32,76
Qld,31503,Outback - South,17992,Remote,Quintile 2,12022,66816,40927,767.9,1.12,75
WA,51102,Gascoyne,9757,Remote,Quintile 2,5812,59566,40923,517.8,1.08,74
Qld,31203,Whitsunday,21840,Outer Regional,Quintile 2,15974,73142,40720,413.6,0.95,74
NSW,10804,Port Macquarie,79929,Inner Regional,Quintile 2,79173,99054,40430,1141.2,1.03,83
Qld,31603,Maroochy,58359,Major Cities,Quintile 2,49117,84164,40320,716.5,0.9,82
Vic,21601,Campaspe,37582,Inner Regional,Quintile 2,40522,107824,39999,1005.6,1.12,81
Qld,31801,Charters Towers - Ayr - Ingham,42924,Outer Regional,Quintile 2,34550,80492,39553,928.3,1.12,80
Tas,60202,Meander Valley - West Tamar,22818,Outer Regional,Quintile 2,21893,95948,39548,760.5,0.99,76
NSW,11203,Tweed Valley,93458,Major Cities,Quintile 2,85478,91461,39260,1110.6,1.02,82
NSW,11401,Shoalhaven,101617,Inner Regional,Quintile 2,107819,106103,38972,1132.3,1.13,81
NSW,10903,Upper Murray exc. Albury,42542,Inner Regional,Quintile 2,47756,112257,38875,1151,1.16,80
NSW,10402,Coffs Harbour,87943,Inner Regional,Quintile 2,80468,91500,38280,834.8,0.96,82
SA,40502,Lower North,23051,Inner Regional,Quintile 2,22549,97822,38121,1036,1.11,83
Vic,21703,Colac - Corangamite,37504,Inner Regional,Quintile 2,32563,86826,37585,1145.4,1.28,83
Vic,20502,Gippsland - East,45537,Outer Regional,Quintile 2,48677,106895,37047,1058.3,1.07,80.5
SA,40701,Fleurieu - Kangaroo Island,51719,Inner Regional,Quintile 2,53233,102926,36746,1003.9,0.89,83
Vic,20503,Gippsland - South West,62409,Inner Regional,Quintile 2,64462,103290,36704,978.6,0.99,82
NSW,10104,South Coast,72073,Outer Regional,Quintile 2,81380,112913,35634,1167.2,1.13,80
NSW,11201,Richmond Valley - Coastal,80412,Inner Regional,Quintile 2,64687,80445,34910,885.5,0.97,83
Qld,30604,Port Douglas - Daintree,11882,Outer Regional,Quintile 2,9040,76083,34771,691.2,1.19,71
NT,70104,Palmerston,35667,Outer Regional,Quintile 3,12376,34699,63039,363,1.5,62
NT,70103,Litchfield,24923,Outer Regional,Quintile 3,9991,40088,60699,382.1,1.51,67
NT,70102,Darwin Suburbs,57306,Outer Regional,Quintile 3,23417,40862,58269,459.1,1.37,71
WA,50705,Rockingham,129308,Major Cities,Quintile 3,87024,67300,55752,553.3,1.06,78
WA,50605,Kalamunda,59349,Major Cities,Quintile 3,35253,59399,54906,523.2,0.87,79
WA,50606,Serpentine - Jarrahdale,27696,Major Cities,Quintile 3,12098,43681,54756,331.8,0.92,75
NSW,11702,Marrickville - Sydenham - Petersham,57574,Major Cities,Quintile 3,19855,34486,54359,532.3,1,79
NT,70101,Darwin City,28020,Outer Regional,Quintile 3,9675,34530,53226,327.4,0.95,67.5
WA,50401,Bayswater - Bassendean,83741,Major Cities,Quintile 3,48322,57704,53091,719.8,1.05,82
Qld,30103,Wynnum - Manly,71046,Major Cities,Quintile 3,45474,64007,53033,615.9,0.99,81
Qld,30203,Nundah,40247,Major Cities,Quintile 3,21601,53670,52945,660,1.06,85
WA,50602,Belmont - Victoria Park,73886,Major Cities,Quintile 3,40010,54151,52921,596.7,1.08,80
WA,50403,Swan,133029,Major Cities,Quintile 3,72417,54437,52879,423.5,1.01,78
Qld,30801,Central Highlands (Qld),29775,Outer Regional,Quintile 3,13262,44541,52160,291.2,0.94,75
